stage_id,form_section,field_id,field_name,field_type,validation_rules,required_status,possible_values,dependencies,help_text,current_implementation,feedback_category,user_rating,user_comments,improvement_suggestions,priority_level
1,Basic Project Information,projectCode,Project Code,text,auto-generated readonly,calculated,"HMDA/EE/YYYY/####",none,Auto-generated unique identifier,✓ Implemented,field_design,,,,"Consider year/circle-wise numbering",medium
1,Basic Project Information,proposedBy,Proposed By,text,calculated readonly,calculated,current_user,none,Current logged-in user,✓ Implemented,field_design,,,,Add proposal date auto-capture,low
1,Basic Project Information,projectName,Project Name,text,"required maxlength=500 minlength=10",required,free_text,none,Descriptive project name (10-500 chars),✓ Implemented,validation,,,,Implement name duplication check,medium
1,Basic Project Information,projectCategory,Project Category,select,required,required,"Infrastructure,Layout Development,Water Supply,Parks & Recreation,Transportation,Environmental,Smart City",controls_projectType,Primary category classification,✓ Implemented,field_design,,,,Add sub-category levels,high
1,Basic Project Information,projectType,Project Type,select,"required depends_on_category",required,dynamic_based_on_category,projectCategory,Specific project type within category,✓ Implemented,functionality,,,,Expand type definitions per category,medium
1,Basic Project Information,projectDescription,Project Description,textarea,"required maxlength=2000",required,free_text,none,Detailed project description (max 2000 chars),✓ Implemented,validation,,,,Add rich text editor support,low
1,Basic Project Information,justification,Project Justification,textarea,"required maxlength=1500",required,free_text,none,Business case and necessity (max 1500 chars),✓ Implemented,validation,,,,Add justification templates,medium
1,Basic Project Information,priorityLevel,Priority Level,select,required,required,"Critical,High,Medium,Low",affects_approval_timeline,Project priority classification,✓ Implemented,field_design,,,,Add priority scoring matrix,high
1,Basic Project Information,proposedDate,Proposed Date,date,required,required,date_format,none,Project proposal date,✓ Implemented,field_design,,,,Auto-populate with current date,low
1,Basic Project Information,expectedStartDate,Expected Start Date,date,optional,optional,date_format,none,Tentative project start date,✓ Implemented,field_design,,,,Add dependency on approval timeline,medium
1,Basic Project Information,fundingSource,Funding Source,text,"optional maxlength=200",optional,free_text,none,Source of project funding,✓ Implemented,field_design,,,,Convert to dropdown with predefined sources,high
1,Basic Project Information,fundingPattern,Funding Pattern,select,optional,optional,"Central 100%,State 100%,Central 50% State 50%,PPP,Multilateral,Other",affects_approval_process,Government funding pattern,✓ Implemented,functionality,,,,Add funding ratio configurability,medium
