stage_id,form_section,field_id,field_name,field_type,validation_rules,required_status,possible_values,dependencies,help_text,current_implementation,feedback_category,user_rating,user_comments,improvement_suggestions,priority_level
7,Project Readiness Assessment,projectCode,Project Code,text,"readonly calculated",calculated,"HMDA/EE/2025/0001",from_previous_stages,Project code from quality control stage,Not Implemented,data_flow,,,,Ensure seamless transition from QC stage,high
7,Project Readiness Assessment,constructionCompletionStatus,Construction Completion Status,select,"readonly calculated",calculated,"Substantially Complete,Minor Work Pending,Major Work Pending",from_stage5,Overall construction completion status,Not Implemented,data_flow,,,,Add completion verification mechanisms,high
7,Project Readiness Assessment,qualityControlStatus,Quality Control Status,select,"readonly calculated",calculated,"Quality Approved,Quality Issues Resolved,Quality Pending",from_stage6,Quality control clearance status,Not Implemented,data_flow,,,,Add QC clearance automation,high
7,Project Readiness Assessment,testingReadiness,Testing Readiness Assessment,select,required,required,"Ready for Testing,Partially Ready,Not Ready",readiness_evaluation,Overall readiness for testing and commissioning,Not Implemented,functionality,,,,Add readiness checklist automation,high
7,Pre-Commissioning Activities,systemIsolation,System Isolation Status,select,required,required,"Completed,In Progress,Not Started",pre_commissioning_step,Status of system isolation for testing,Not Implemented,functionality,,,,Add isolation verification procedures,high
7,Pre-Commissioning Activities,systemCleaning,System Cleaning Status,select,required,required,"Completed,In Progress,Not Started",pre_commissioning_step,Status of system cleaning and preparation,Not Implemented,functionality,,,,Add cleaning standards checklist,medium
7,Pre-Commissioning Activities,equipmentInstallation,Equipment Installation Status,select,required,required,"All Installed,Partially Installed,Installation Pending",installation_tracking,Status of equipment installation,Not Implemented,functionality,,,,Add equipment installation verification,high
7,Pre-Commissioning Activities,cableTermination,Cable Termination Status,select,optional,optional,"Completed,In Progress,Not Started,Not Applicable",electrical_systems,Status of electrical cable termination,Not Implemented,functionality,,,,Add cable testing integration,medium
7,Pre-Commissioning Activities,pipingPressureTest,Piping Pressure Test Status,select,optional,optional,"Passed,Failed,In Progress,Not Applicable",mechanical_systems,Status of piping pressure tests,Not Implemented,functionality,,,,Add pressure test automation,high
7,Pre-Commissioning Activities,instrumentCalibration,Instrument Calibration Status,select,optional,optional,"Completed,In Progress,Pending,Not Applicable",instrumentation_systems,Status of instrument calibration,Not Implemented,functionality,,,,Add calibration certificate tracking,medium
7,Individual System Testing,electricalSystemTest,Electrical System Testing,select,required,required,"Passed,Failed,In Progress,Not Started",system_testing,Status of electrical system testing,Not Implemented,functionality,,,,Add electrical test result integration,high
7,Individual System Testing,mechanicalSystemTest,Mechanical System Testing,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",system_testing,Status of mechanical system testing,Not Implemented,functionality,,,,Add mechanical test procedures,medium
7,Individual System Testing,hvacSystemTest,HVAC System Testing,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",system_testing,Status of HVAC system testing,Not Implemented,functionality,,,,Add HVAC performance standards,medium
7,Individual System Testing,plumbingSystemTest,Plumbing System Testing,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",system_testing,Status of plumbing system testing,Not Implemented,functionality,,,,Add plumbing test automation,medium
7,Individual System Testing,fireAlarmSystemTest,Fire Alarm System Testing,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",safety_systems,Status of fire alarm system testing,Not Implemented,functionality,,,,Add fire safety compliance verification,high
7,Individual System Testing,securitySystemTest,Security System Testing,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",security_systems,Status of security system testing,Not Implemented,functionality,,,,Add security system verification,medium
7,Individual System Testing,communicationSystemTest,Communication System Testing,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",communication_systems,Status of communication system testing,Not Implemented,functionality,,,,Add communication test protocols,low
7,Individual System Testing,totalSystemsToTest,Total Systems to Test,number,"readonly calculated",calculated,auto_counted_applicable_systems,system_inventory,Total number of systems requiring testing,Not Implemented,calculation,,,,Add system testing matrix,medium
7,Individual System Testing,systemsTestPassed,Systems Test Passed,number,"readonly calculated",calculated,auto_counted_passed_systems,test_results,Number of systems that passed testing,Not Implemented,calculation,,,,Add system test result dashboard,medium
7,Individual System Testing,systemTestPassRate,System Test Pass Rate (%),number,"readonly calculated",calculated,passed_vs_total_percentage,performance_calculation,Percentage of systems passing tests,Not Implemented,calculation,,,,Add test pass rate benchmarking,medium
7,Integrated System Testing,integratedTestPlan,Integrated Test Plan Status,select,required,required,"Approved,Under Review,Pending Submission",test_planning,Status of integrated system test plan,Not Implemented,functionality,,,,Add integrated test plan templates,high
7,Integrated System Testing,systemIntegrationTest,System Integration Testing,select,required,required,"Passed,Failed,In Progress,Not Started",integration_testing,Status of system integration testing,Not Implemented,functionality,,,,Add integration test automation,high
7,Integrated System Testing,loadTesting,Load Testing Status,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",performance_testing,Status of system load testing,Not Implemented,functionality,,,,Add load testing standards,medium
7,Integrated System Testing,enduranceTest,Endurance Testing Status,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",reliability_testing,Status of system endurance testing,Not Implemented,functionality,,,,Add endurance test protocols,medium
7,Integrated System Testing,interferenceTest,Interference Testing Status,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",compatibility_testing,Status of electromagnetic interference testing,Not Implemented,functionality,,,,Add interference test procedures,low
7,Integrated System Testing,failsafeTest,Fail-safe Testing Status,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",safety_testing,Status of fail-safe mechanism testing,Not Implemented,functionality,,,,Add fail-safe test verification,high
7,Integrated System Testing,backupSystemTest,Backup System Testing,select,optional,optional,"Passed,Failed,In Progress,Not Started,Not Applicable",redundancy_testing,Status of backup system testing,Not Implemented,functionality,,,,Add backup system protocols,medium
7,Performance Validation,performanceParameterTest,Performance Parameter Testing,select,required,required,"All Parameters Met,Some Parameters Failed,Testing In Progress",performance_validation,Status of performance parameter validation,Not Implemented,functionality,,,,Add performance parameter automation,high
