stage_id,form_section,field_id,field_name,field_type,validation_rules,required_status,possible_values,dependencies,help_text,current_implementation,feedback_category,user_rating,user_comments,improvement_suggestions,priority_level
6,Project Status Overview,projectCode,Project Code,text,"readonly calculated",calculated,"HMDA/EE/2025/0001",from_previous_stages,Project code from execution stage,Not Implemented,data_flow,,,,Ensure continuity from execution phase,high
6,Project Status Overview,currentPhysicalProgress,Current Physical Progress (%),number,"readonly calculated",calculated,progress_from_stage5,from_execution_tracking,Current physical completion percentage,Not Implemented,data_flow,,,,Add progress verification mechanisms,high
6,Project Status Overview,qualityStatus,Overall Quality Status,select,"readonly calculated",calculated,"Under Quality Control,Quality Issues Identified,Quality Approved",quality_assessment,Overall quality assessment status,Not Implemented,functionality,,,,Add quality status automation,high
6,Project Status Overview,criticalQualityIssues,Critical Quality Issues,number,"readonly calculated",calculated,auto_counted_critical,issue_tracking,Number of critical quality issues identified,Not Implemented,calculation,,,,Add critical issue escalation,high
6,Three-Tier Quality Control,level1QCStatus,Level 1 QC (Contractor),select,required,required,"Not Started,In Progress,Completed,Issues Identified",contractor_responsibility,Contractor self-certification quality control,Not Implemented,functionality,,,,Add contractor QC documentation requirements,high
6,Three-Tier Quality Control,level1QCDate,Level 1 QC Completion Date,date,optional,optional,date_format,level1_completion,Date when Level 1 QC was completed,Not Implemented,field_design,,,,Add QC completion timeline tracking,medium
6,Three-Tier Quality Control,level1Issues,Level 1 Issues Count,number,"min=0",optional,numeric_positive,issue_tracking,Number of issues identified in Level 1 QC,Not Implemented,validation,,,,Add issue severity classification,high
6,Three-Tier Quality Control,level2QCStatus,Level 2 QC (Consultant),select,required,required,"Not Started,In Progress,Completed,Issues Identified",consultant_responsibility,Independent consultant quality control,Not Implemented,functionality,,,,Add consultant QC integration,high
6,Three-Tier Quality Control,level2QCDate,Level 2 QC Completion Date,date,optional,optional,date_format,level2_completion,Date when Level 2 QC was completed,Not Implemented,field_design,,,,Add consultant QC report automation,medium
6,Three-Tier Quality Control,level2Issues,Level 2 Issues Count,number,"min=0",optional,numeric_positive,issue_tracking,Number of issues identified in Level 2 QC,Not Implemented,validation,,,,Add consultant issue tracking,medium
6,Three-Tier Quality Control,level3QCStatus,Level 3 QC (HMDA),select,required,required,"Not Started,In Progress,Completed,Issues Identified",hmda_responsibility,HMDA departmental quality control,Not Implemented,functionality,,,,Add HMDA QC workflow automation,high
6,Three-Tier Quality Control,level3QCDate,Level 3 QC Completion Date,date,optional,optional,date_format,level3_completion,Date when Level 3 QC was completed,Not Implemented,field_design,,,,Add HMDA QC checklist automation,high
6,Three-Tier Quality Control,level3Issues,Level 3 Issues Count,number,"min=0",optional,numeric_positive,issue_tracking,Number of issues identified in Level 3 QC,Not Implemented,validation,,,,Add HMDA issue resolution tracking,high
6,Material Testing & Approval,concreteTestStatus,Concrete Test Status,select,required,required,"All Tests Passed,Tests Pending,Some Tests Failed",material_quality,Status of concrete cube/cylinder tests,Not Implemented,functionality,,,,Add concrete test result integration,high
6,Material Testing & Approval,steelTestStatus,Steel Test Status,select,required,required,"All Tests Passed,Tests Pending,Some Tests Failed",material_quality,Status of steel/reinforcement tests,Not Implemented,functionality,,,,Add steel test certificate tracking,high
6,Material Testing & Approval,aggregateTestStatus,Aggregate Test Status,select,required,required,"All Tests Passed,Tests Pending,Some Tests Failed",material_quality,Status of aggregate quality tests,Not Implemented,functionality,,,,Add aggregate source verification,medium
