stage_id,form_section,field_id,field_name,field_type,validation_rules,required_status,possible_values,dependencies,help_text,current_implementation,feedback_category,user_rating,user_comments,improvement_suggestions,priority_level
2,Previous Stage Summary,projectCode,Project Code,text,"readonly calculated",calculated,"HMDA/EE/2025/0001",from_stage1,Project code from Stage 1,✓ Implemented,data_flow,,,,Ensure seamless data transfer from Stage 1,high
2,Previous Stage Summary,conceptApprovalDate,Concept Approval Date,date,"readonly calculated",calculated,date_from_stage1,from_stage1,Date when concept was approved,✓ Implemented,data_flow,,,,Add approval reference number,medium
2,Previous Stage Summary,approvedCost,Approved Cost (₹ Lakhs),number,"readonly calculated",calculated,amount_from_stage1,from_stage1,Concept approved cost from Stage 1,✓ Implemented,data_flow,,,,Show cost comparison with DPR estimate,high
2,DPR Development Strategy,dprMode,DPR Preparation Mode,select,required,required,"In-house HMDA Team,External Consultant,Hybrid Approach",controls_consultant_fields,Method for DPR preparation,✓ Implemented,field_design,,,,Add mode-specific workflow templates,high
2,DPR Development Strategy,consultant,Selected Consultant,select,"conditional required_if_external",conditional,"Consultant A,Consultant B,Consultant C,Other",dprMode_external,Selected consultant for external DPR,✓ Implemented,functionality,,,,Integrate with empanelled consultant database,high
2,DPR Development Strategy,consultantSelection,Consultant Selection Method,select,"conditional required_if_external",conditional,"RFP Process,Empanelled Consultant,Nomination,QCBS,Other",dprMode_external,Method used for consultant selection,✓ Implemented,field_design,,,,Add selection criteria documentation,medium
2,DPR Development Strategy,dprCost,DPR Cost (₹ Lakhs),number,"conditional step=0.01 min=0",conditional,numeric_positive,dprMode_external,Cost for DPR development,✓ Implemented,validation,,,,Add DPR cost benchmarks,medium
2,DPR Development Strategy,dprStartDate,DPR Start Date,date,required,required,date_format,none,Date when DPR work commenced,✓ Implemented,field_design,,,,Auto-populate from concept approval date,low
2,DPR Development Strategy,dprTargetCompletion,DPR Target Completion,date,required,required,date_format,dprStartDate,Target date for DPR completion,✓ Implemented,validation,,,,Add duration validation based on project complexity,medium
2,DPR Development Strategy,dprProgress,DPR Progress (%),number,"min=0 max=100 step=1",optional,0_to_100_percent,none,Current DPR completion percentage,✓ Implemented,field_design,,,,Add milestone-based progress tracking,high
2,DPR Development Strategy,teamLead,Technical Team Lead,select,optional,optional,"Engineer 1,Engineer 2,Engineer 3",none,Lead engineer for DPR development,✓ Implemented,field_design,,,,Integrate with HMDA staff database,medium
