stage_id,form_section,field_id,field_name,field_type,validation_rules,required_status,possible_values,dependencies,help_text,current_implementation,feedback_category,user_rating,user_comments,improvement_suggestions,priority_level
8,Project Completion Overview,projectCode,Project Code,text,"readonly calculated",calculated,"HMDA/EE/2025/0001",from_previous_stages,Project code from testing & commissioning stage,Not Implemented,data_flow,,,,Ensure complete project lifecycle tracking,high
8,Project Completion Overview,commissioningStatus,Commissioning Status,select,"readonly calculated",calculated,"Successfully Commissioned,Conditionally Commissioned,Commissioning Issues",from_stage7,Commissioning completion status from Stage 7,Not Implemented,data_flow,,,,Add commissioning status verification,high
8,Project Completion Overview,finalProjectCost,Final Project Cost (₹ Lakhs),number,"readonly calculated",calculated,total_project_expenditure,from_all_stages,Total final cost including all variations,Not Implemented,calculation,,,,Add cost breakdown analysis,high
8,Project Completion Overview,projectDurationActual,Actual Project Duration (Months),number,"readonly calculated",calculated,actual_completion_time,duration_tracking,Actual time taken for project completion,Not Implemented,calculation,,,,Add duration variance analysis,medium
8,Project Completion Overview,scheduleVarianceFinal,Final Schedule Variance (Days),number,"readonly calculated",calculated,actual_vs_planned_timeline,schedule_analysis,Final schedule variance (positive = delay),Not Implemented,calculation,,,,Add schedule performance analysis,medium
8,Project Completion Overview,costVarianceFinal,Final Cost Variance (₹ Lakhs),number,"readonly calculated",calculated,final_vs_approved_cost,cost_analysis,Final cost variance from approved budget,Not Implemented,calculation,,,,Add cost performance analysis,high
8,Completion Certificates,projectCompletionCertificate,Project Completion Certificate,select,required,required,"Issued,Draft,Under Review,Pending",certificate_issuance,Status of project completion certificate,Not Implemented,functionality,,,,Add certificate issuance workflow,high
8,Completion Certificates,completionCertificateNumber,Completion Certificate Number,text,optional,optional,certificate_reference,certificate_issued,Reference number of completion certificate,Not Implemented,validation,,,,Add certificate numbering system,medium
8,Completion Certificates,completionCertificateDate,Completion Certificate Date,date,optional,optional,date_format,certificate_issued,Date when completion certificate was issued,Not Implemented,field_design,,,,Add certificate date validation,medium
8,Completion Certificates,engineerInChargeCertificate,Engineer-in-Charge Certificate,select,required,required,"Issued,Pending,Conditional",technical_certification,Certificate from engineer-in-charge,Not Implemented,functionality,,,,Add engineer certification workflow,high
8,Completion Certificates,architectCertificate,Architect Certificate,select,optional,optional,"Issued,Pending,Conditional,Not Required",design_certification,Certificate from project architect (if applicable),Not Implemented,functionality,,,,Add architect certification tracking,medium
8,Completion Certificates,consultantCertificate,Consultant Certificate,select,optional,optional,"Issued,Pending,Conditional,Not Required",external_certification,Certificate from project consultant (if applicable),Not Implemented,functionality,,,,Add consultant certification integration,medium
