stage_id,form_section,field_id,field_name,field_type,validation_rules,required_status,possible_values,dependencies,help_text,current_implementation,feedback_category,user_rating,user_comments,improvement_suggestions,priority_level
3,Previous Stages Summary,projectCode,Project Code,text,"readonly calculated",calculated,"HMDA/EE/2025/0001",from_stage2,Project code from previous stages,✓ Implemented,data_flow,,,,Ensure data integrity from Stage 2,high
3,Previous Stages Summary,technicalSanctionAmount,Technical Sanction (₹ Lakhs),number,"readonly calculated",calculated,amount_from_stage2,from_stage2,TS amount from Stage 2,✓ Implemented,data_flow,,,,Show TS vs tender value comparison,medium
3,Previous Stages Summary,tsDate,TS Date,date,"readonly calculated",calculated,date_from_stage2,from_stage2,Technical sanction date,✓ Implemented,data_flow,,,,Add TS validity period tracking,medium
3,Previous Stages Summary,allClearancesStatus,All Clearances,text,"readonly calculated",calculated,"Obtained ✓",from_stage2,Status of all required clearances,✓ Implemented,data_flow,,,,Add clearance-wise status breakdown,high
3,Tender Process Timeline,tenderPublicationDate,Tender Publication,date,"readonly calculated",calculated,date_value,workflow_controlled,Date when NIT was published,✓ Implemented,workflow,,,,Add publication medium tracking,low
3,Tender Process Timeline,preBidMeetingDate,Pre-bid Meeting,date,"readonly calculated",calculated,date_value,workflow_controlled,Date of pre-bid meeting,✓ Implemented,workflow,,,,Add query-response tracking,medium
3,Tender Process Timeline,bidSubmissionDate,Bid Submission Deadline,datetime-local,"readonly calculated",calculated,datetime_value,workflow_controlled,Last date and time for bid submission,✓ Implemented,workflow,,,,Add submission extension tracking,medium
3,Tender Process Timeline,technicalEvaluationDate,Technical Evaluation,date,"readonly calculated",calculated,date_value,workflow_controlled,Date of technical evaluation completion,✓ Implemented,workflow,,,,Add evaluation committee details,medium
3,Tender Process Timeline,commercialEvaluationDate,Commercial Evaluation,date,"readonly calculated",calculated,date_value,workflow_controlled,Date of commercial evaluation completion,✓ Implemented,workflow,,,,Add price bid opening details,medium
3,Tender Process Timeline,awardRecommendationStatus,Award Recommendation,text,"readonly calculated",calculated,"In Progress",workflow_controlled,Status of award recommendation,✓ Implemented,workflow,,,,Add recommendation approval workflow,high
3,Tender Information,tenderNoticeNumber,Tender Notice Number,text,"readonly calculated",calculated,"HMDA/EE-II/NIT/2025/001",auto_generated,Auto-generated tender notice number,✓ Implemented,field_design,,,,Add tender numbering sequence validation,medium
3,Tender Information,tenderNoticeDate,Tender Notice Date,date,"readonly calculated",calculated,publication_date,auto_populated,Date of tender notice publication,✓ Implemented,field_design,,,,Sync with e-procurement portal,high
3,Tender Information,bidSubmissionLastDate,Bid Submission Last Date,datetime-local,"readonly calculated",calculated,deadline_datetime,auto_calculated,Last date and time for bid submission,✓ Implemented,calculation,,,,Add timezone handling,low
3,Tender Information,tenderValue,Tender Value (₹ Lakhs),number,"readonly calculated",calculated,ts_amount,from_technical_sanction,Tender value based on TS amount,✓ Implemented,calculation,,,,Add tender value vs TS variance tracking,medium
3,Tender Information,earnestMoney,Earnest Money (₹ Lakhs),number,"readonly calculated",calculated,two_percent_tender_value,auto_calculated,2% of tender value as earnest money,✓ Implemented,calculation,,,,Add EMD exemption handling,medium
3,Tender Information,completionPeriod,Completion Period (Months),number,"readonly calculated",calculated,duration_from_dpr,from_stage2,Project completion period in months,✓ Implemented,field_design,,,,Add completion period extension procedures,medium
3,Tender Information,performanceSecurity,Performance Security (₹ Lakhs),number,"readonly calculated",calculated,ten_percent_contract_value,auto_calculated,10% of contract value as performance security,✓ Implemented,calculation,,,,Add performance security release schedule,medium
3,Tender Information,retentionPercentage,Retention Percentage,number,"readonly calculated",calculated,ten_percent,standard_value,10% retention on each bill,✓ Implemented,field_design,,,,Add retention release conditions,medium
3,Tender Information,warrantyPeriod,Warranty Period (Months),number,"readonly calculated",calculated,twenty_four_months,standard_value,24 months warranty period,✓ Implemented,field_design,,,,Add warranty vs defect liability period clarification,medium
3,Bidder Analysis,totalBidsReceived,Total Bids Received,number,"readonly calculated",calculated,seven,system_counted,Total number of bids received,✓ Implemented,calculation,,,,Add bid reception tracking system,medium
3,Bidder Analysis,technicallyQualified,Technically Qualified,number,"readonly calculated",calculated,six,evaluation_result,Number of technically qualified bidders,✓ Implemented,calculation,,,,Add technical disqualification reasons,high
3,Bidder Analysis,l1BidderName,L1 Bidder Name,text,"readonly calculated",calculated,"M/s ABC Construction Ltd.",evaluation_result,Name of L1 (lowest) bidder,✓ Implemented,field_design,,,,Add bidder background verification,high
3,Bidder Analysis,l1BidAmount,L1 Bid Amount (₹ Lakhs),number,"readonly calculated",calculated,149.50,evaluation_result,L1 quoted amount in lakhs,✓ Implemented,calculation,,,,Add bid amount validation against estimate,medium
